"Hours since thread went live","Kami wa Game ni Ueteiru. • Gods' Game We Play - Episode 5 discussion"
0,0
0.08333333333333333,0
0.16666666666666666,0
0.25,0
0.3333333333333333,0
0.4166666666666667,1
0.5,2
0.5833333333333334,2
0.6666666666666666,2
0.75,1
0.8333333333333334,2
0.9166666666666666,2
1,4
1.0833333333333333,5
1.1666666666666667,7
1.25,6
1.3333333333333333,6
1.4166666666666667,5
1.5,5
1.5833333333333333,4
1.6666666666666667,5
1.75,4
1.8333333333333333,5
1.9166666666666667,7
2,7
2.0833333333333335,8
2.1666666666666665,10
2.25,9
2.3333333333333335,9
2.4166666666666665,8
2.5,10
2.5833333333333335,8
2.6666666666666665,9
2.75,9
2.8333333333333335,10
2.9166666666666665,10
3,11
3.0833333333333335,12
3.1666666666666665,10
3.25,12
3.3333333333333335,14
3.4166666666666665,15
3.5,13
3.5833333333333335,18
3.6666666666666665,20
3.75,22
3.8333333333333335,20
3.9166666666666665,18
4,20
4.083333333333333,19
4.166666666666667,17
4.25,21
4.333333333333333,19
4.416666666666667,21
4.5,21
4.583333333333333,24
4.666666666666667,26
4.75,20
4.833333333333333,25
4.916666666666667,23
5,24
5.083333333333333,23
5.166666666666667,24
5.25,25
5.333333333333333,25
5.416666666666667,26
5.5,28
5.583333333333333,28
5.666666666666667,30
5.75,31
5.833333333333333,28
5.916666666666667,33
6,33
6.083333333333333,35
6.166666666666667,35
6.25,36
6.333333333333333,30
6.416666666666667,33
6.5,35
6.583333333333333,35
6.666666666666667,34
6.75,35
6.833333333333333,35
6.916666666666667,37
7,33
7.083333333333333,34
7.166666666666667,36
7.25,39
7.333333333333333,36
7.416666666666667,35
7.5,42
7.583333333333333,40
7.666666666666667,39
7.75,36
7.833333333333333,35
7.916666666666667,39
8,36
8.083333333333334,39
8.166666666666666,36
8.25,38
8.333333333333334,42
8.416666666666666,44
8.5,42
8.583333333333334,42
8.666666666666666,40
8.75,40
8.833333333333334,42
8.916666666666666,37
9,42
9.083333333333334,41
9.166666666666666,39
9.25,38
9.333333333333334,40
9.416666666666666,41
9.5,38
9.583333333333334,41
9.666666666666666,42
9.75,42
9.833333333333334,43
9.916666666666666,44
10,45
10.083333333333334,40
10.166666666666666,42
10.25,41
10.333333333333334,39
10.416666666666666,44
10.5,42
10.583333333333334,45
10.666666666666666,45
10.75,40
10.833333333333334,43
10.916666666666666,40
11,43
11.083333333333334,46
11.166666666666666,45
11.25,45
11.333333333333334,44
11.416666666666666,46
11.5,53
11.583333333333334,49
11.666666666666666,52
11.75,49
11.833333333333334,54
11.916666666666666,55
12,52
12.083333333333334,52
12.166666666666666,52
12.25,53
12.333333333333334,56
12.416666666666666,55
12.5,56
12.583333333333334,58
12.666666666666666,51
12.75,53
12.833333333333334,54
12.916666666666666,54
13,58
13.083333333333334,54
13.166666666666666,56
13.25,55
13.333333333333334,59
13.416666666666666,55
13.5,59
13.583333333333334,57
13.666666666666666,56
13.75,53
13.833333333333334,59
13.916666666666666,57
14,56
14.083333333333334,57
14.166666666666666,56
14.25,58
14.333333333333334,57
14.416666666666666,62
14.5,59
14.583333333333334,58
14.666666666666666,57
14.75,55
14.833333333333334,57
14.916666666666666,62
15,59
15.083333333333334,60
15.166666666666666,54
15.25,57
15.333333333333334,60
15.416666666666666,58
15.5,55
15.583333333333334,60
15.666666666666666,57
15.75,59
15.833333333333334,60
15.916666666666666,61
16,59
16.083333333333332,60
16.166666666666668,60
16.25,61
16.333333333333332,65
16.416666666666668,63
16.5,64
16.583333333333332,65
16.666666666666668,60
16.75,63
16.833333333333332,64
16.916666666666668,65
17,64
17.083333333333332,61
17.166666666666668,63
17.25,62
17.333333333333332,62
17.416666666666668,64
17.5,63
17.583333333333332,64
17.666666666666668,65
17.75,63
17.833333333333332,66
17.916666666666668,63
18,63
18.083333333333332,63
18.166666666666668,65
18.25,63
18.333333333333332,66
18.416666666666668,65
18.5,62
18.583333333333332,66
18.666666666666668,66
18.75,64
18.833333333333332,64
18.916666666666668,65
19,63
19.083333333333332,65
19.166666666666668,65
19.25,64
19.333333333333332,63
19.416666666666668,66
19.5,68
19.583333333333332,65
19.666666666666668,63
19.75,69
19.833333333333332,66
19.916666666666668,63
20,67
20.083333333333332,65
20.166666666666668,67
20.25,71
20.333333333333332,69
20.416666666666668,68
20.5,71
20.583333333333332,68
20.666666666666668,67
20.75,70
20.833333333333332,66
20.916666666666668,68
21,67
21.083333333333332,68
21.166666666666668,71
21.25,72
21.333333333333332,72
21.416666666666668,72
21.5,70
21.583333333333332,72
21.666666666666668,68
21.75,69
21.833333333333332,66
21.916666666666668,74
22,73
22.083333333333332,71
22.166666666666668,72
22.25,72
22.333333333333332,70
22.416666666666668,67
22.5,67
22.583333333333332,71
22.666666666666668,71
22.75,68
22.833333333333332,74
22.916666666666668,70
23,69
23.083333333333332,75
23.166666666666668,73
23.25,70
23.333333333333332,75
23.416666666666668,69
23.5,73
23.583333333333332,71
23.666666666666668,71
23.75,67
23.833333333333332,71
23.916666666666668,68
24,72
24.083333333333332,69
24.166666666666668,69
24.25,74
24.333333333333332,74
24.416666666666668,72
24.5,75
24.583333333333332,72
24.666666666666668,72
24.75,70
24.833333333333332,69
24.916666666666668,69
25,74
25.083333333333332,73
25.166666666666668,69
25.25,71
25.333333333333332,69
25.416666666666668,73
25.5,71
25.583333333333332,73
25.666666666666668,72
25.75,70
25.833333333333332,68
25.916666666666668,71
26,68
26.083333333333332,74
26.166666666666668,67
26.25,67
26.333333333333332,70
26.416666666666668,69
26.5,67
26.583333333333332,71
26.666666666666668,74
26.75,69
26.833333333333332,73
26.916666666666668,71
27,71
27.083333333333332,69
27.166666666666668,72
27.25,71
27.333333333333332,72
27.416666666666668,69
27.5,72
27.583333333333332,72
27.666666666666668,72
27.75,71
27.833333333333332,72
27.916666666666668,72
28,71
28.083333333333332,69
28.166666666666668,73
28.25,72
28.333333333333332,73
28.416666666666668,71
28.5,72
28.583333333333332,72
28.666666666666668,69
28.833333333333332,73
28.833333333333332,70
28.916666666666668,70
29,74
29.083333333333332,72
29.166666666666668,70
29.25,74
29.333333333333332,67
29.416666666666668,71
29.5,71
29.583333333333332,69
29.666666666666668,70
29.75,72
29.833333333333332,68
29.916666666666668,69
30,74
30.083333333333332,75
30.166666666666668,74
30.25,71
30.333333333333332,75
30.416666666666668,75
30.5,76
30.583333333333332,73
30.666666666666668,72
