"Hours since thread went live","Hibike! Euphonium Season 3 • Sound! Euphonium Season 3 - Episode 1 discussion"
0,3
0,5
0.08333333333333333,10
0.16666666666666666,11
0.25,19
0.3333333333333333,32
0.4166666666666667,45
0.5,56
0.5833333333333334,63
0.6666666666666666,71
0.75,77
0.8333333333333334,79
0.9166666666666666,83
1,96
1.0833333333333333,101
1.1666666666666667,111
1.25,120
1.3333333333333333,127
1.4166666666666667,138
1.5,148
1.5833333333333333,166
1.6666666666666667,173
1.75,184
1.8333333333333333,185
1.9166666666666667,199
2,212
2.0833333333333335,224
2.1666666666666665,234
2.25,244
2.3333333333333335,254
2.4166666666666665,263
2.5,268
2.5833333333333335,273
2.6666666666666665,285
2.75,293
2.8333333333333335,298
2.9166666666666665,302
3,305
3.0833333333333335,308
3.1666666666666665,319
3.25,336
3.3333333333333335,343
3.4166666666666665,352
3.5,360
3.5833333333333335,367
3.6666666666666665,380
3.75,382
3.8333333333333335,385
3.9166666666666665,388
4,400
4.083333333333333,406
4.166666666666667,414
4.25,427
4.333333333333333,437
4.416666666666667,438
4.5,447
4.583333333333333,450
4.666666666666667,459
4.75,466
4.833333333333333,472
4.916666666666667,483
5,488
5.083333333333333,494
5.166666666666667,501
5.25,512
5.333333333333333,517
5.416666666666667,524
5.5,527
5.583333333333333,528
5.666666666666667,534
5.75,538
5.833333333333333,547
5.916666666666667,550
6,554
6.083333333333333,560
6.166666666666667,567
6.25,569
6.333333333333333,577
6.416666666666667,576
6.5,589
6.583333333333333,590
6.666666666666667,598
6.75,602
6.833333333333333,614
6.916666666666667,621
7,631
7.083333333333333,631
7.166666666666667,633
7.25,648
7.333333333333333,646
7.416666666666667,650
7.5,651
7.583333333333333,654
7.666666666666667,663
7.75,665
7.833333333333333,673
7.916666666666667,677
8,678
8.083333333333334,683
8.166666666666666,694
8.25,702
8.333333333333334,704
8.416666666666666,706
8.5,713
8.583333333333334,711
8.666666666666666,716
8.75,730
8.833333333333334,732
8.916666666666666,733
9,733
9.083333333333334,744
9.166666666666666,743
9.25,753
9.333333333333334,753
9.416666666666666,755
9.5,762
9.583333333333334,769
9.666666666666666,761
9.75,764
9.833333333333334,766
9.916666666666666,771
10,772
10.083333333333334,779
10.166666666666666,777
10.25,783
10.333333333333334,786
10.416666666666666,789
10.5,790
10.583333333333334,799
10.666666666666666,798
10.75,794
10.833333333333334,802
10.916666666666666,815
11,814
11.083333333333334,813
11.166666666666666,815
11.25,829
11.333333333333334,834
11.416666666666666,841
11.5,840
11.583333333333334,841
11.666666666666666,845
11.75,850
11.833333333333334,855
11.916666666666666,861
12,859
12.083333333333334,862
12.166666666666666,860
12.25,867
12.333333333333334,867
12.416666666666666,867
12.5,878
12.583333333333334,878
12.666666666666666,871
12.75,873
12.833333333333334,882
12.916666666666666,880
13,881
13.083333333333334,884
13.166666666666666,887
13.25,893
13.333333333333334,898
13.416666666666666,897
13.5,904
13.583333333333334,904
13.666666666666666,910
13.75,913
13.833333333333334,913
13.916666666666666,919
14,921
14.083333333333334,923
14.166666666666666,926
14.25,932
14.333333333333334,932
14.416666666666666,936
14.5,935
14.583333333333334,939
14.666666666666666,942
14.75,943
14.833333333333334,942
14.916666666666666,946
15,948
15.083333333333334,955
15.166666666666666,959
15.25,960
15.333333333333334,964
15.416666666666666,961
15.5,964
15.583333333333334,966
15.666666666666666,970
15.75,969
15.833333333333334,972
15.916666666666666,970
16,974
16.083333333333332,977
16.166666666666668,977
16.25,979
16.333333333333332,985
16.416666666666668,987
16.5,986
16.583333333333332,991
16.666666666666668,998
16.75,997
16.833333333333332,1000
16.916666666666668,997
17,1004
17.083333333333332,1006
17.166666666666668,1005
17.25,1011
17.333333333333332,1008
17.416666666666668,1004
17.5,1015
17.583333333333332,1019
17.666666666666668,1021
17.75,1023
17.833333333333332,1019
17.916666666666668,1027
18,1033
18.083333333333332,1033
18.166666666666668,1030
18.25,1030
18.333333333333332,1035
18.416666666666668,1029
18.5,1044
18.583333333333332,1037
18.666666666666668,1038
18.75,1038
18.833333333333332,1040
18.916666666666668,1042
19,1047
19.083333333333332,1044
19.166666666666668,1047
19.25,1047
19.333333333333332,1041
19.416666666666668,1053
19.5,1049
19.583333333333332,1049
19.666666666666668,1053
19.75,1052
19.833333333333332,1049
19.916666666666668,1049
20,1055
20.083333333333332,1057
20.166666666666668,1053
20.25,1057
20.333333333333332,1059
20.416666666666668,1057
20.5,1056
20.583333333333332,1066
20.666666666666668,1064
20.75,1066
20.833333333333332,1064
20.916666666666668,1072
21,1069
21.083333333333332,1068
21.166666666666668,1066
21.25,1074
21.333333333333332,1072
21.416666666666668,1075
21.5,1078
21.583333333333332,1076
21.666666666666668,1080
21.75,1079
21.833333333333332,1076
21.916666666666668,1086
22,1081
22.083333333333332,1085
22.166666666666668,1088
22.25,1081
22.333333333333332,1084
22.416666666666668,1092
22.5,1084
22.583333333333332,1089
22.666666666666668,1093
22.75,1091
22.833333333333332,1092
22.916666666666668,1090
23,1094
23.083333333333332,1095
23.166666666666668,1093
23.25,1090
23.333333333333332,1094
23.416666666666668,1091
23.5,1095
23.583333333333332,1094
23.666666666666668,1099
23.75,1100
23.833333333333332,1095
23.916666666666668,1096
24,1101
24.083333333333332,1099
24.166666666666668,1097
24.25,1102
24.333333333333332,1097
24.416666666666668,1102
24.5,1098
24.583333333333332,1099
24.666666666666668,1103
24.75,1103
24.833333333333332,1102
24.916666666666668,1099
25,1102
25.083333333333332,1108
25.166666666666668,1102
25.25,1103
25.333333333333332,1110
25.416666666666668,1111
25.5,1105
25.583333333333332,1109
25.666666666666668,1112
25.75,1120
25.833333333333332,1113
25.916666666666668,1110
26,1117
26.083333333333332,1112
26.166666666666668,1117
26.25,1119
26.333333333333332,1115
26.416666666666668,1117
26.5,1117
26.583333333333332,1115
26.666666666666668,1120
26.75,1120
26.833333333333332,1121
26.916666666666668,1121
27,1121
27.083333333333332,1122
27.166666666666668,1123
27.25,1122
27.333333333333332,1129
27.416666666666668,1125
27.5,1127
27.583333333333332,1122
27.666666666666668,1127
27.75,1132
27.833333333333332,1130
27.916666666666668,1130
28,1125
28.083333333333332,1131
28.166666666666668,1133
28.25,1129
28.333333333333332,1126
28.416666666666668,1128
28.5,1130
28.583333333333332,1129
28.666666666666668,1132
28.75,1130
28.833333333333332,1127
28.916666666666668,1137
29,1136
29.083333333333332,1133
29.166666666666668,1129
29.25,1136
29.333333333333332,1129
29.416666666666668,1131
29.5,1136
29.583333333333332,1137
29.666666666666668,1132
29.75,1133
29.833333333333332,1135
29.916666666666668,1135
30,1134
30.083333333333332,1132
30.166666666666668,1130
30.25,1136
30.333333333333332,1134
30.416666666666668,1138
30.5,1138
30.583333333333332,1135
30.666666666666668,1137
30.75,1142
30.833333333333332,1141
30.916666666666668,1138
31,1139
31.083333333333332,1143
31.166666666666668,1142
31.25,1139
31.333333333333332,1143
31.416666666666668,1138
31.5,1142
31.583333333333332,1143
31.666666666666668,1143
31.75,1144
31.833333333333332,1147
31.916666666666668,1144
32,1138
32.083333333333336,1145
32.166666666666664,1145
32.25,1143
32.333333333333336,1146
32.416666666666664,1146
32.5,1146
32.583333333333336,1141
32.666666666666664,1145
32.75,1143
32.916666666666664,1139
33,1151
33.083333333333336,1144
33.166666666666664,1152
33.25,1151
33.333333333333336,1147
33.416666666666664,1143
33.5,1148
33.583333333333336,1144
33.666666666666664,1147
33.75,1150
33.833333333333336,1153
33.916666666666664,1154
34,1146
34.083333333333336,1148
34.166666666666664,1148
34.25,1150
34.333333333333336,1143
34.416666666666664,1150
34.5,1148
34.583333333333336,1148
34.666666666666664,1151
34.75,1155
34.833333333333336,1150
34.916666666666664,1148
35,1153
35.083333333333336,1154
35.166666666666664,1157
35.25,1153
35.333333333333336,1157
35.416666666666664,1163
35.5,1156
35.583333333333336,1156
35.666666666666664,1155
35.75,1155
35.833333333333336,1158
35.916666666666664,1156
36,1160
36.083333333333336,1156
36.166666666666664,1155
36.25,1154
36.333333333333336,1164
36.416666666666664,1159
36.5,1161
36.583333333333336,1158
36.666666666666664,1163
36.75,1155
36.833333333333336,1159
36.916666666666664,1156
37,1164
37.083333333333336,1165
37.166666666666664,1157
37.25,1159
37.333333333333336,1166
37.416666666666664,1164
37.5,1159
37.583333333333336,1168
37.666666666666664,1168
37.75,1160
37.833333333333336,1162
37.916666666666664,1167
38,1161
38.083333333333336,1166
38.166666666666664,1164
38.25,1165
38.333333333333336,1165
38.416666666666664,1168
38.5,1168
38.583333333333336,1169
38.666666666666664,1165
38.75,1164
38.833333333333336,1168
38.916666666666664,1163
39,1161
39.083333333333336,1163
39.166666666666664,1163
39.25,1162
39.333333333333336,1162
39.416666666666664,1165
39.5,1166
39.583333333333336,1167
39.666666666666664,1169
39.75,1169
39.833333333333336,1166
39.916666666666664,1165
40,1166
40.083333333333336,1167
40.166666666666664,1171
40.25,1166
40.333333333333336,1169
40.416666666666664,1167
40.5,1170
40.583333333333336,1162
40.666666666666664,1169
40.75,1170
40.833333333333336,1167
40.916666666666664,1169
41,1168
41.083333333333336,1175
41.166666666666664,1171
41.25,1171
41.333333333333336,1164
41.416666666666664,1165
41.5,1170
41.583333333333336,1171
41.666666666666664,1170
41.75,1171
41.833333333333336,1171
41.916666666666664,1171
42,1175
42.083333333333336,1174
42.166666666666664,1172
42.25,1171
42.333333333333336,1173
42.416666666666664,1175
42.5,1175
42.583333333333336,1178
42.666666666666664,1167
42.75,1171
42.833333333333336,1171
42.916666666666664,1177
43,1168
43.083333333333336,1177
43.166666666666664,1175
43.25,1177
43.333333333333336,1172
43.416666666666664,1169
43.5,1172
43.583333333333336,1170
43.666666666666664,1175
43.75,1173
43.833333333333336,1174
43.916666666666664,1172
44,1176
44.083333333333336,1170
44.166666666666664,1177
44.25,1168
44.333333333333336,1173
44.416666666666664,1167
44.5,1176
44.583333333333336,1175
44.666666666666664,1175
44.75,1169
44.833333333333336,1168
44.916666666666664,1174
45,1170
45.083333333333336,1176
45.166666666666664,1171
45.25,1177
45.333333333333336,1177
45.416666666666664,1173
45.5,1177
45.583333333333336,1172
45.666666666666664,1179
45.75,1174
45.833333333333336,1179
45.916666666666664,1177
46,1178
46.083333333333336,1183
46.166666666666664,1179
46.25,1177
46.333333333333336,1180
46.416666666666664,1177
46.5,1178
46.583333333333336,1175
46.666666666666664,1179
46.75,1176
46.833333333333336,1175
46.916666666666664,1173
47,1180
47.083333333333336,1174
47.166666666666664,1178
47.25,1183
47.333333333333336,1178
47.416666666666664,1179
47.5,1178
47.583333333333336,1181
47.666666666666664,1173
47.75,1183
47.833333333333336,1178
47.916666666666664,1179
