"Hours since thread went live","Jiisan Baasan Wakagaeru • Grandpa and Grandma Turn Young Again - Episode 6 discussion"
0,1
0.08333333333333333,1
0.16666666666666666,5
0.25,5
0.3333333333333333,6
0.4166666666666667,7
0.5,8
0.5833333333333334,7
0.6666666666666666,10
0.75,11
0.8333333333333334,12
0.9166666666666666,13
1,15
1.0833333333333333,18
1.1666666666666667,18
1.25,21
1.3333333333333333,23
1.4166666666666667,25
1.5,27
1.5833333333333333,29
1.6666666666666667,34
1.75,31
1.8333333333333333,31
1.9166666666666667,35
2,32
2.0833333333333335,34
2.1666666666666665,37
2.25,38
2.3333333333333335,37
2.4166666666666665,42
2.5,43
2.5833333333333335,43
2.6666666666666665,43
2.75,49
2.8333333333333335,55
2.9166666666666665,53
3,57
3.0833333333333335,58
3.1666666666666665,61
3.25,59
3.3333333333333335,63
3.4166666666666665,63
3.5,65
3.5833333333333335,66
3.6666666666666665,70
3.75,70
3.8333333333333335,73
3.9166666666666665,70
4,75
4.083333333333333,72
4.166666666666667,71
4.25,71
4.333333333333333,75
4.416666666666667,72
4.5,80
4.583333333333333,77
4.666666666666667,78
4.75,79
4.833333333333333,77
4.916666666666667,81
5,85
5.083333333333333,87
5.166666666666667,84
5.25,82
5.333333333333333,86
5.416666666666667,82
5.5,87
5.583333333333333,84
5.666666666666667,84
5.75,84
5.833333333333333,92
5.916666666666667,94
6,92
6.083333333333333,92
6.166666666666667,99
6.25,93
6.333333333333333,95
6.416666666666667,99
6.5,104
6.583333333333333,103
6.666666666666667,102
6.75,100
6.833333333333333,106
6.916666666666667,107
7,106
7.083333333333333,107
7.166666666666667,106
7.25,108
7.333333333333333,105
7.416666666666667,113
7.5,114
7.583333333333333,116
7.666666666666667,116
7.75,118
7.833333333333333,115
7.916666666666667,119
8,115
8.083333333333334,119
8.166666666666666,119
8.25,118
8.333333333333334,120
8.416666666666666,123
8.5,122
8.583333333333334,125
8.666666666666666,121
8.75,122
8.833333333333334,125
8.916666666666666,126
9,128
9.083333333333334,125
9.166666666666666,124
9.25,127
9.333333333333334,124
9.416666666666666,127
9.5,128
9.583333333333334,130
9.666666666666666,126
9.75,129
9.833333333333334,130
9.916666666666666,134
10,129
10.083333333333334,134
10.166666666666666,133
10.25,138
10.333333333333334,135
10.416666666666666,136
10.5,137
10.583333333333334,143
10.666666666666666,144
10.75,144
10.833333333333334,145
10.916666666666666,146
11,150
11.083333333333334,150
11.166666666666666,149
11.25,151
11.333333333333334,153
11.416666666666666,152
11.5,151
11.583333333333334,148
11.666666666666666,152
11.75,152
11.833333333333334,154
11.916666666666666,153
12,156
12.083333333333334,160
12.166666666666666,162
12.25,163
12.333333333333334,165
12.416666666666666,166
12.5,168
12.583333333333334,169
12.666666666666666,171
12.75,165
12.833333333333334,168
12.916666666666666,169
13,173
13.083333333333334,175
13.166666666666666,175
13.25,179
13.333333333333334,178
13.416666666666666,178
13.5,176
13.583333333333334,177
13.666666666666666,179
13.75,180
13.833333333333334,181
13.916666666666666,177
14,185
14.083333333333334,182
14.166666666666666,186
14.25,181
14.333333333333334,186
14.416666666666666,178
14.5,181
14.583333333333334,183
14.666666666666666,185
14.75,185
14.833333333333334,185
14.916666666666666,183
15,187
15.083333333333334,187
15.166666666666666,185
15.25,185
15.333333333333334,187
15.416666666666666,189
15.5,185
15.583333333333334,191
15.666666666666666,188
15.75,186
15.833333333333334,192
15.916666666666666,192
16,193
16.083333333333332,190
16.166666666666668,195
16.25,191
16.333333333333332,191
16.416666666666668,192
16.5,197
16.583333333333332,190
16.666666666666668,193
16.75,197
16.833333333333332,196
16.916666666666668,191
17,194
17.083333333333332,192
17.166666666666668,198
17.25,191
17.333333333333332,194
17.416666666666668,196
17.5,196
17.583333333333332,193
17.666666666666668,195
17.75,196
17.833333333333332,198
17.916666666666668,199
18,194
18.083333333333332,198
18.166666666666668,198
18.25,196
18.333333333333332,199
18.416666666666668,193
18.5,197
18.583333333333332,200
18.666666666666668,195
18.75,196
18.833333333333332,198
18.916666666666668,196
19,195
19.083333333333332,196
19.166666666666668,198
19.25,199
19.333333333333332,193
19.416666666666668,196
19.5,195
19.583333333333332,193
19.666666666666668,199
19.75,195
19.833333333333332,197
19.916666666666668,196
20,198
20.083333333333332,198
20.166666666666668,198
20.25,200
20.333333333333332,198
20.416666666666668,200
20.5,204
20.583333333333332,199
20.666666666666668,201
20.75,197
20.833333333333332,202
20.916666666666668,204
21,201
21.083333333333332,202
21.166666666666668,200
21.25,201
21.333333333333332,203
21.416666666666668,205
21.5,205
21.583333333333332,203
21.666666666666668,206
21.75,203
21.833333333333332,205
21.916666666666668,205
22,204
22.083333333333332,204
22.166666666666668,201
22.25,207
22.333333333333332,201
22.416666666666668,207
22.5,205
22.583333333333332,204
22.666666666666668,205
22.75,204
22.833333333333332,206
22.916666666666668,210
23,208
23.083333333333332,210
23.166666666666668,212
23.25,212
23.333333333333332,207
23.416666666666668,209
23.5,210
23.583333333333332,207
23.666666666666668,212
23.75,206
23.833333333333332,210
23.916666666666668,212
24,210
24.083333333333332,210
24.166666666666668,210
24.25,212
24.333333333333332,211
24.416666666666668,210
24.5,213
24.583333333333332,214
24.666666666666668,214
24.75,214
24.833333333333332,209
24.916666666666668,211
25,217
25.083333333333332,209
25.166666666666668,213
25.25,214
25.333333333333332,214
25.416666666666668,214
25.5,217
25.583333333333332,213
25.666666666666668,216
25.75,218
25.833333333333332,215
25.916666666666668,214
26,217
26.083333333333332,218
26.166666666666668,217
26.25,214
26.333333333333332,215
26.416666666666668,218
26.5,217
26.583333333333332,217
26.666666666666668,217
26.75,219
26.833333333333332,219
26.916666666666668,217
27,219
27.083333333333332,219
27.166666666666668,222
27.25,223
27.333333333333332,221
27.416666666666668,222
27.5,222
27.583333333333332,220
27.666666666666668,219
27.75,215
27.833333333333332,218
27.916666666666668,221
28,217
28.083333333333332,217
28.166666666666668,221
28.25,223
28.333333333333332,220
28.416666666666668,216
28.5,223
28.583333333333332,220
28.666666666666668,218
28.75,217
28.833333333333332,221
28.916666666666668,219
29,217
29.083333333333332,221
29.166666666666668,219
29.25,218
29.333333333333332,218
29.416666666666668,222
29.5,222
29.583333333333332,217
29.666666666666668,220
29.75,221
29.833333333333332,220
29.916666666666668,220
30,223
30.083333333333332,220
30.166666666666668,218
30.25,217
30.333333333333332,217
30.416666666666668,220
30.5,222
30.583333333333332,220
30.666666666666668,223
30.75,217
30.833333333333332,220
30.916666666666668,224
31,219
31.083333333333332,217
31.166666666666668,222
31.25,223
31.333333333333332,223
31.416666666666668,222
31.5,223
31.583333333333332,224
31.666666666666668,223
31.75,224
31.833333333333332,218
31.916666666666668,223
32,223
32.083333333333336,222
32.166666666666664,226
32.25,224
32.333333333333336,224
32.416666666666664,220
32.5,220
32.583333333333336,222
32.666666666666664,224
32.75,222
32.833333333333336,223
32.916666666666664,221
33,220
33.083333333333336,220
33.166666666666664,225
33.25,228
33.333333333333336,221
33.416666666666664,222
33.5,226
33.583333333333336,222
33.666666666666664,222
33.75,225
33.833333333333336,223
33.916666666666664,227
34,224
34.083333333333336,226
34.166666666666664,223
34.25,229
34.333333333333336,224
34.416666666666664,224
34.5,222
34.583333333333336,224
34.666666666666664,224
34.75,221
34.833333333333336,223
34.916666666666664,225
35,226
35.083333333333336,227
35.166666666666664,227
35.25,225
