"Hours since thread went live","Beyblade X - Episode 29 discussion"
0,1
0,1
0.08333333333333333,1
0.16666666666666666,1
0.25,1
0.3333333333333333,1
0.4166666666666667,2
0.5,2
0.5833333333333334,2
0.6666666666666666,2
0.75,2
0.8333333333333334,2
0.9166666666666666,3
1,3
1.0833333333333333,3
1.1666666666666667,2
1.25,2
1.3333333333333333,2
1.4166666666666667,2
1.5,2
1.5833333333333333,4
1.6666666666666667,3
1.75,2
1.8333333333333333,2
1.9166666666666667,2
2,3
2.0833333333333335,1
2.1666666666666665,3
2.25,3
2.3333333333333335,2
2.4166666666666665,3
2.5,1
2.5833333333333335,1
2.6666666666666665,3
2.75,3
2.8333333333333335,5
2.9166666666666665,2
3,5
3.0833333333333335,2
3.1666666666666665,3
3.25,4
3.3333333333333335,2
3.4166666666666665,3
3.5,4
3.5833333333333335,2
3.6666666666666665,5
3.75,3
3.8333333333333335,2
3.9166666666666665,3
4,5
4.083333333333333,2
4.166666666666667,2
4.25,4
4.333333333333333,4
4.416666666666667,4
4.5,3
4.583333333333333,2
4.666666666666667,6
4.75,6
4.833333333333333,7
4.916666666666667,4
5,4
5.083333333333333,4
5.166666666666667,7
5.25,4
5.333333333333333,4
5.416666666666667,7
5.5,6
5.583333333333333,6
5.666666666666667,7
5.75,6
5.833333333333333,6
5.916666666666667,6
6,5
6.083333333333333,5
6.166666666666667,7
6.25,4
6.333333333333333,7
6.416666666666667,7
6.5,6
6.583333333333333,4
6.666666666666667,8
6.75,8
6.833333333333333,6
6.916666666666667,7
7,7
7.083333333333333,5
7.166666666666667,7
7.25,4
7.333333333333333,8
7.416666666666667,6
7.5,7
7.583333333333333,7
7.666666666666667,6
7.75,8
7.833333333333333,8
7.916666666666667,5
8,4
8.083333333333334,4
8.166666666666666,6
8.25,6
8.333333333333334,7
8.416666666666666,6
8.5,5
8.583333333333334,6
8.666666666666666,4
8.75,5
8.833333333333334,5
8.916666666666666,6
9,5
9.083333333333334,7
9.166666666666666,5
9.25,8
9.333333333333334,9
9.416666666666666,6
9.5,9
9.583333333333334,7
9.666666666666666,10
9.75,8
9.833333333333334,8
9.916666666666666,7
10,9
10.083333333333334,8
10.166666666666666,7
10.25,8
10.333333333333334,9
10.416666666666666,7
10.5,10
10.583333333333334,8
10.666666666666666,10
10.75,8
10.833333333333334,8
10.916666666666666,9
11,10
11.083333333333334,7
11.166666666666666,9
11.25,6
11.333333333333334,8
11.416666666666666,7
11.5,7
11.583333333333334,7
11.666666666666666,8
11.75,9
11.833333333333334,8
11.916666666666666,8
12,7
12.083333333333334,7
12.166666666666666,7
12.25,7
12.333333333333334,8
12.416666666666666,7
12.5,7
12.583333333333334,6
12.666666666666666,9
12.75,9
12.833333333333334,9
12.916666666666666,8
13,10
13.083333333333334,8
13.166666666666666,6
13.25,6
13.333333333333334,7
13.416666666666666,7
13.5,9
13.583333333333334,10
13.666666666666666,9
13.75,6
13.833333333333334,8
13.916666666666666,9
14,9
14.083333333333334,6
14.166666666666666,8
14.25,8
14.333333333333334,7
14.416666666666666,7
14.5,10
14.583333333333334,9
14.666666666666666,8
14.75,7
14.833333333333334,9
14.916666666666666,9
15,7
15.083333333333334,6
15.166666666666666,8
15.25,9
15.333333333333334,9
15.416666666666666,10
15.5,9
15.583333333333334,8
15.666666666666666,7
15.75,7
15.833333333333334,8
15.916666666666666,7
16,7
16.083333333333332,9
16.166666666666668,8
16.25,9
16.333333333333332,9
16.416666666666668,10
16.5,7
16.583333333333332,8
16.666666666666668,8
16.75,6
16.833333333333332,10
16.916666666666668,6
17,8
17.083333333333332,8
17.166666666666668,8
17.25,9
17.333333333333332,8
17.416666666666668,9
17.5,10
17.583333333333332,7
17.666666666666668,7
17.75,9
17.833333333333332,7
17.916666666666668,9
18,8
18.083333333333332,7
18.166666666666668,8
18.25,10
18.333333333333332,8
18.416666666666668,9
18.5,7
18.583333333333332,9
18.666666666666668,10
18.75,8
18.833333333333332,10
18.916666666666668,10
19,7
19.083333333333332,7
19.166666666666668,7
19.25,6
19.333333333333332,6
19.416666666666668,5
19.5,6
19.583333333333332,7
19.666666666666668,9
19.75,7
19.833333333333332,8
19.916666666666668,6
20,5
20.083333333333332,7
20.166666666666668,6
20.25,9
20.333333333333332,8
20.416666666666668,6
20.5,9
20.583333333333332,8
20.666666666666668,7
20.75,7
20.833333333333332,7
20.916666666666668,7
21,6
21.083333333333332,7
21.166666666666668,9
21.25,7
21.333333333333332,9
21.416666666666668,8
21.5,8
21.583333333333332,7
21.666666666666668,5
21.75,9
21.833333333333332,5
21.916666666666668,7
22,7
22.083333333333332,7
22.166666666666668,6
22.25,6
22.333333333333332,7
22.416666666666668,6
22.5,7
22.583333333333332,7
22.666666666666668,7
22.75,9
22.833333333333332,5
22.916666666666668,7
23,8
23.083333333333332,7
23.166666666666668,9
23.25,7
23.333333333333332,8
23.416666666666668,5
23.5,8
23.583333333333332,5
23.666666666666668,8
23.75,6
23.833333333333332,6
23.916666666666668,6
24,8
24.083333333333332,5
24.166666666666668,7
24.25,6
24.333333333333332,9
24.416666666666668,6
24.5,9
24.583333333333332,6
24.666666666666668,7
24.75,6
24.833333333333332,7
24.916666666666668,6
25,8
25.083333333333332,5
25.166666666666668,9
25.25,7
25.333333333333332,6
25.416666666666668,7
25.5,5
25.583333333333332,7
25.666666666666668,9
25.75,8
25.833333333333332,9
25.916666666666668,6
26,7
26.083333333333332,5
26.166666666666668,8
26.25,6
26.333333333333332,7
26.416666666666668,8
26.5,6
26.583333333333332,6
26.666666666666668,6
26.75,5
26.833333333333332,6
26.916666666666668,6
27,5
27.083333333333332,8
27.166666666666668,7
27.25,5
27.333333333333332,6
27.416666666666668,7
27.5,8
27.583333333333332,8
27.666666666666668,7
27.75,7
27.833333333333332,9
27.916666666666668,7
28,9
28.083333333333332,8
28.166666666666668,5
28.25,6
28.333333333333332,7
28.416666666666668,5
28.5,9
28.583333333333332,6
28.666666666666668,8
28.75,7
28.833333333333332,9
28.916666666666668,8
29,8
29.083333333333332,7
29.166666666666668,7
29.25,8
29.333333333333332,5
29.416666666666668,5
29.5,8
29.583333333333332,8
29.666666666666668,6
29.75,7
29.833333333333332,7
29.916666666666668,7
30,9
30.083333333333332,6
30.166666666666668,7
30.25,7
30.333333333333332,7
30.416666666666668,8
30.5,5
30.583333333333332,8
30.666666666666668,7
30.75,8
30.833333333333332,7
30.916666666666668,8
31,7
31.083333333333332,7
31.166666666666668,9
31.25,9
31.333333333333332,7
31.416666666666668,5
31.5,6
31.583333333333332,6
31.666666666666668,8
31.75,7
31.833333333333332,9
31.916666666666668,9
32,7
32.083333333333336,8
32.166666666666664,6
32.25,7
32.333333333333336,7
32.416666666666664,8
32.5,6
32.583333333333336,9
32.666666666666664,6
32.75,5
32.833333333333336,6
32.916666666666664,8
33,5
33.083333333333336,8
33.166666666666664,5
33.25,6
33.333333333333336,5
33.416666666666664,8
33.5,6
33.583333333333336,7
33.666666666666664,8
33.75,8
33.833333333333336,5
33.916666666666664,6
34,7
34.083333333333336,7
34.166666666666664,9
34.25,8
34.333333333333336,6
34.416666666666664,8
34.5,6
34.583333333333336,9
34.666666666666664,7
34.75,6
34.833333333333336,7
34.916666666666664,8
35,7
35.083333333333336,7
35.166666666666664,7
35.25,6
35.333333333333336,7
35.416666666666664,9
35.5,9
35.583333333333336,6
35.666666666666664,6
35.75,8
35.833333333333336,8
35.916666666666664,7
36,7
36.083333333333336,7
36.166666666666664,5
36.25,7
36.333333333333336,7
36.416666666666664,8
36.5,7
36.583333333333336,7
36.666666666666664,6
36.75,8
36.833333333333336,6
36.916666666666664,9
37,7
37.083333333333336,7
37.166666666666664,5
37.25,6
37.333333333333336,5
37.416666666666664,7
37.5,8
37.583333333333336,6
37.666666666666664,7
37.75,5
37.833333333333336,6
37.916666666666664,6
38,7
38.083333333333336,6
38.166666666666664,7
38.25,9
38.333333333333336,8
38.416666666666664,7
38.5,7
38.583333333333336,7
38.666666666666664,7
38.75,6
38.833333333333336,8
38.916666666666664,8
39,8
39.083333333333336,7
