"Hours since thread went live","Captain Tsubasa Season 2: Junior Youth-hen • 'Captain Tsubasa Jr. Youth Arc - Episode 35 discussion"
0,1
0,1
0.08333333333333333,2
0.16666666666666666,2
0.25,2
0.3333333333333333,3
0.4166666666666667,3
0.5,3
0.5833333333333334,3
0.6666666666666666,3
0.75,3
0.8333333333333334,3
0.9166666666666666,3
1,3
1.0833333333333333,3
1.1666666666666667,3
1.25,3
1.3333333333333333,3
1.4166666666666667,3
1.5,2
1.5833333333333333,2
1.6666666666666667,2
1.75,2
1.8333333333333333,2
1.9166666666666667,2
2,2
2.0833333333333335,2
2.1666666666666665,2
2.25,2
2.3333333333333335,1
2.4166666666666665,2
2.5,4
2.5833333333333335,2
2.6666666666666665,2
2.75,2
2.8333333333333335,3
2.9166666666666665,2
3,4
3.0833333333333335,2
3.1666666666666665,3
3.25,3
3.3333333333333335,2
3.4166666666666665,5
3.5,5
3.5833333333333335,6
3.6666666666666665,4
3.75,3
3.8333333333333335,7
3.9166666666666665,6
4,5
4.083333333333333,7
4.166666666666667,5
4.25,7
4.333333333333333,7
4.416666666666667,5
4.5,5
4.583333333333333,7
4.666666666666667,6
4.75,6
4.833333333333333,9
4.916666666666667,9
5,7
5.083333333333333,6
5.166666666666667,9
5.25,6
5.333333333333333,5
5.416666666666667,6
5.5,9
5.583333333333333,5
5.666666666666667,7
5.75,7
5.833333333333333,7
5.916666666666667,8
6,6
6.083333333333333,6
6.166666666666667,7
6.25,9
6.333333333333333,7
6.416666666666667,7
6.5,8
6.583333333333333,7
6.666666666666667,9
6.75,7
6.833333333333333,6
6.916666666666667,6
7,9
7.083333333333333,8
7.166666666666667,8
7.25,7
7.333333333333333,8
7.416666666666667,7
7.5,6
7.583333333333333,9
7.666666666666667,8
7.75,7
7.833333333333333,9
7.916666666666667,7
8,9
8.083333333333334,6
8.166666666666666,9
8.25,7
8.333333333333334,8
8.416666666666666,7
8.5,7
8.583333333333334,7
8.666666666666666,7
8.75,6
8.833333333333334,8
8.916666666666666,8
9,5
9.083333333333334,5
9.166666666666666,8
9.25,6
9.333333333333334,6
9.416666666666666,8
9.5,8
9.583333333333334,8
9.666666666666666,7
9.75,7
9.833333333333334,8
9.916666666666666,8
10,8
10.083333333333334,7
10.166666666666666,8
10.25,7
10.333333333333334,9
10.416666666666666,6
10.5,8
10.583333333333334,8
10.666666666666666,7
10.75,7
10.833333333333334,7
10.916666666666666,10
11,9
11.083333333333334,7
11.166666666666666,9
11.25,9
11.333333333333334,8
11.416666666666666,6
11.5,7
11.583333333333334,8
11.666666666666666,10
11.75,7
11.833333333333334,8
11.916666666666666,8
12,8
12.083333333333334,8
12.166666666666666,9
12.25,9
12.333333333333334,10
12.416666666666666,9
12.5,7
12.583333333333334,10
12.666666666666666,8
12.75,11
12.833333333333334,7
12.916666666666666,8
13,9
13.083333333333334,10
13.166666666666666,11
13.25,11
13.333333333333334,12
13.416666666666666,11
13.5,10
13.583333333333334,10
13.666666666666666,8
13.75,8
13.833333333333334,11
13.916666666666666,10
14,12
14.083333333333334,11
14.166666666666666,10
14.25,9
14.333333333333334,10
14.416666666666666,9
14.5,9
14.583333333333334,9
14.666666666666666,11
14.75,12
14.833333333333334,11
14.916666666666666,13
15,12
15.083333333333334,11
15.166666666666666,12
15.25,10
15.333333333333334,9
15.416666666666666,10
15.583333333333334,10
15.666666666666666,12
15.75,10
15.833333333333334,12
