"Hours since thread went live","Odekake Kozame - Episode 38 discussion"
0,1
0,1
0.08333333333333333,3
0.16666666666666666,3
0.25,3
0.3333333333333333,3
0.4166666666666667,3
0.5,5
0.5833333333333334,5
0.6666666666666666,5
0.75,5
0.8333333333333334,5
0.9166666666666666,5
1,5
1.0833333333333333,5
1.1666666666666667,5
1.25,6
1.3333333333333333,5
1.4166666666666667,6
1.5,6
1.5833333333333333,6
1.6666666666666667,7
1.75,6
1.8333333333333333,6
1.9166666666666667,6
2,5
2.0833333333333335,5
2.1666666666666665,7
2.25,7
2.3333333333333335,6
2.4166666666666665,6
2.5,7
2.5833333333333335,8
2.6666666666666665,7
2.75,8
2.8333333333333335,8
2.9166666666666665,7
3,8
3.0833333333333335,8
3.1666666666666665,7
3.25,7
3.3333333333333335,7
3.4166666666666665,8
3.5,8
3.5833333333333335,9
3.6666666666666665,7
3.75,9
3.8333333333333335,8
3.9166666666666665,7
4,8
4.083333333333333,8
4.166666666666667,9
4.25,9
4.333333333333333,9
4.416666666666667,7
4.5,9
4.583333333333333,9
4.666666666666667,9
4.75,8
4.833333333333333,9
4.916666666666667,8
5,7
5.083333333333333,9
5.166666666666667,8
5.25,8
5.333333333333333,10
5.416666666666667,10
5.5,8
5.583333333333333,9
5.666666666666667,10
5.75,11
5.833333333333333,10
5.916666666666667,9
6,10
6.083333333333333,12
6.166666666666667,9
6.25,10
6.333333333333333,9
6.416666666666667,11
6.5,11
6.583333333333333,12
6.666666666666667,10
6.75,11
6.833333333333333,11
6.916666666666667,11
7,10
7.083333333333333,11
7.166666666666667,12
7.25,11
7.333333333333333,13
7.416666666666667,12
7.5,10
7.583333333333333,14
7.666666666666667,13
7.75,11
7.833333333333333,13
7.916666666666667,13
8,11
8.083333333333334,11
8.166666666666666,13
8.25,14
8.333333333333334,14
8.416666666666666,12
8.5,11
8.583333333333334,13
8.666666666666666,13
8.75,11
8.833333333333334,15
8.916666666666666,11
9,15
9.083333333333334,13
9.166666666666666,13
9.25,13
9.333333333333334,12
9.416666666666666,11
9.5,14
9.583333333333334,13
9.666666666666666,12
9.75,13
9.833333333333334,12
9.916666666666666,14
10,12
10.083333333333334,13
10.166666666666666,15
10.25,11
10.333333333333334,15
10.416666666666666,15
10.5,13
10.583333333333334,12
10.666666666666666,12
10.75,13
10.833333333333334,11
10.916666666666666,13
11,13
11.083333333333334,12
11.166666666666666,12
11.25,14
11.333333333333334,13
11.416666666666666,13
11.5,14
11.583333333333334,14
11.666666666666666,13
11.75,12
11.833333333333334,14
11.916666666666666,14
12,14
12.083333333333334,16
12.166666666666666,13
12.25,15
12.333333333333334,15
12.416666666666666,14
12.5,12
12.583333333333334,16
12.666666666666666,15
12.75,16
12.833333333333334,12
12.916666666666666,14
13,15
13.083333333333334,14
13.166666666666666,15
13.25,14
13.333333333333334,12
13.416666666666666,14
13.5,14
13.583333333333334,14
13.666666666666666,12
13.833333333333334,15
13.916666666666666,14
14,16
14.083333333333334,14
14.166666666666666,12
14.25,13
14.333333333333334,15
14.416666666666666,14
14.5,12
14.583333333333334,15
14.666666666666666,14
14.75,13
14.833333333333334,16
14.916666666666666,14
15,16
15.083333333333334,16
15.166666666666666,17
15.25,14
15.333333333333334,15
15.416666666666666,14
15.5,16
15.583333333333334,14
15.666666666666666,17
15.75,13
15.833333333333334,14
15.916666666666666,16
16,16
16.083333333333332,13
16.166666666666668,15
16.25,17
16.333333333333332,13
16.416666666666668,16
16.5,15
16.583333333333332,13
16.666666666666668,14
16.75,16
16.833333333333332,15
16.916666666666668,15
17,15
17.083333333333332,17
17.166666666666668,17
17.25,15
17.333333333333332,16
17.416666666666668,16
17.5,17
17.583333333333332,16
17.666666666666668,17
17.75,14
17.833333333333332,13
17.916666666666668,15
18,15
18.083333333333332,15
18.166666666666668,13
18.25,14
18.333333333333332,14
18.416666666666668,14
18.5,17
18.583333333333332,17
18.666666666666668,14
18.75,14
18.833333333333332,15
18.916666666666668,15
19,15
19.083333333333332,16
19.166666666666668,16
19.25,14
19.333333333333332,15
19.416666666666668,15
19.5,15
19.583333333333332,13
19.666666666666668,14
19.75,14
19.833333333333332,15
19.916666666666668,15
20,14
20.083333333333332,13
20.166666666666668,13
20.25,15
20.333333333333332,14
20.416666666666668,15
20.5,15
20.583333333333332,15
20.666666666666668,15
20.75,17
20.833333333333332,14
20.916666666666668,14
21,15
21.083333333333332,15
21.166666666666668,15
21.25,15
21.333333333333332,17
21.416666666666668,14
21.5,13
21.583333333333332,17
21.666666666666668,15
21.75,14
21.833333333333332,14
21.916666666666668,14
22,15
22.083333333333332,14
22.166666666666668,15
22.25,16
22.333333333333332,14
22.416666666666668,15
22.5,16
22.583333333333332,15
22.666666666666668,14
22.75,14
22.833333333333332,13
22.916666666666668,15
23,16
23.083333333333332,14
23.166666666666668,15
23.25,17
23.333333333333332,14
23.416666666666668,15
23.5,14
23.583333333333332,15
23.666666666666668,15
23.75,17
23.833333333333332,15
23.916666666666668,15
24,17
24.083333333333332,15
24.166666666666668,16
24.25,15
24.333333333333332,13
24.416666666666668,14
24.5,16
24.583333333333332,15
24.666666666666668,16
24.75,13
24.833333333333332,14
24.916666666666668,15
25,17
25.083333333333332,17
25.166666666666668,15
25.25,15
25.333333333333332,14
25.416666666666668,16
25.5,17
25.583333333333332,14
25.666666666666668,15
25.75,14
25.833333333333332,17
25.916666666666668,14
26,14
26.083333333333332,16
26.166666666666668,15
26.25,14
26.333333333333332,14
26.416666666666668,17
26.5,13
26.583333333333332,14
26.666666666666668,13
26.75,14
26.833333333333332,13
26.916666666666668,15
27,15
27.083333333333332,14
27.166666666666668,15
27.25,14
27.333333333333332,17
27.416666666666668,17
27.5,14
27.583333333333332,15
27.666666666666668,15
27.75,14
27.833333333333332,16
27.916666666666668,14
28,14
28.083333333333332,13
28.166666666666668,16
28.25,13
28.333333333333332,13
28.416666666666668,15
28.5,13
28.583333333333332,15
28.666666666666668,13
28.75,14
28.833333333333332,13
28.916666666666668,16
29,16
29.083333333333332,14
29.166666666666668,16
29.25,15
29.333333333333332,16
29.416666666666668,16
29.5,15
29.583333333333332,16
29.666666666666668,13
29.75,17
29.833333333333332,14
29.916666666666668,16
30,17
30.083333333333332,15
30.166666666666668,15
30.25,15
30.333333333333332,15
30.416666666666668,15
30.5,14
30.583333333333332,15
30.666666666666668,15
30.75,15
30.833333333333332,15
30.916666666666668,16
31,14
31.083333333333332,15
31.166666666666668,15
31.25,14
31.333333333333332,17
31.416666666666668,16
31.5,15
31.583333333333332,17
31.666666666666668,17
31.75,16
31.833333333333332,16
31.916666666666668,17
32,14
32.083333333333336,14
32.166666666666664,16
32.25,16
32.333333333333336,14
32.416666666666664,16
32.5,16
32.583333333333336,16
32.666666666666664,18
32.75,18
32.833333333333336,17
32.916666666666664,15
33,19
33.083333333333336,15
33.166666666666664,17
33.25,17
33.333333333333336,18
33.416666666666664,18
33.5,17
33.583333333333336,15
33.666666666666664,18
33.75,15
33.833333333333336,17
33.916666666666664,17
34,19
34.083333333333336,18
34.166666666666664,18
34.25,16
34.333333333333336,16
34.416666666666664,18
34.5,20
34.583333333333336,17
34.666666666666664,18
34.75,19
34.833333333333336,20
34.916666666666664,20
35,19
35.083333333333336,21
35.166666666666664,21
35.25,19
35.333333333333336,18
35.416666666666664,19
35.5,20
35.583333333333336,19
35.666666666666664,17
35.75,19
35.833333333333336,19
35.916666666666664,17
36,18
36.083333333333336,18
36.166666666666664,19
36.25,19
36.333333333333336,19
36.416666666666664,17
36.5,17
36.583333333333336,21
36.666666666666664,20
36.75,18
36.833333333333336,20
36.916666666666664,18
37,21
37.083333333333336,21
37.166666666666664,17
37.25,17
37.333333333333336,20
37.416666666666664,18
37.5,20
37.583333333333336,20
37.666666666666664,18
37.75,19
37.833333333333336,21
37.916666666666664,17
38,20
38.083333333333336,19
38.166666666666664,21
38.25,20
38.333333333333336,21
38.416666666666664,19
38.5,18
38.583333333333336,20
38.666666666666664,21
38.75,19
38.833333333333336,18
38.916666666666664,21
39,19
39.083333333333336,19
39.166666666666664,19
