"Hours since thread went live","Urusei Yatsura (2022) Season 2 - Episode 10 discussion"
0,1
0,1
0.08333333333333333,3
0.16666666666666666,6
0.25,9
0.3333333333333333,10
0.4166666666666667,14
0.5,14
0.5833333333333334,16
0.6666666666666666,19
0.75,21
0.8333333333333334,19
0.9166666666666666,24
1,26
1.0833333333333333,27
1.1666666666666667,29
1.25,30
1.3333333333333333,33
1.4166666666666667,32
1.5,32
1.5833333333333333,31
1.6666666666666667,33
1.75,36
1.8333333333333333,39
1.9166666666666667,40
2,41
2.0833333333333335,42
2.1666666666666665,41
2.25,47
2.3333333333333335,47
2.4166666666666665,48
2.5,47
2.5833333333333335,51
2.6666666666666665,51
2.75,54
2.8333333333333335,54
2.9166666666666665,55
3,57
3.0833333333333335,58
3.1666666666666665,59
3.25,60
3.3333333333333335,60
3.4166666666666665,64
3.5,62
3.5833333333333335,64
3.6666666666666665,64
3.75,67
3.8333333333333335,72
3.9166666666666665,77
4,77
4.083333333333333,78
4.166666666666667,80
4.25,82
4.333333333333333,90
4.416666666666667,87
4.5,89
4.583333333333333,91
4.666666666666667,94
4.75,93
4.833333333333333,95
4.916666666666667,95
5,97
5.083333333333333,91
5.166666666666667,93
5.25,93
5.333333333333333,103
5.416666666666667,103
5.5,105
5.583333333333333,104
5.666666666666667,109
5.75,106
5.833333333333333,113
5.916666666666667,119
6,117
6.083333333333333,116
6.166666666666667,115
6.25,118
6.333333333333333,119
6.416666666666667,118
6.5,126
6.583333333333333,128
6.666666666666667,125
6.75,130
6.833333333333333,133
6.916666666666667,130
7,129
7.083333333333333,130
7.166666666666667,131
7.25,135
7.333333333333333,133
7.416666666666667,137
7.5,137
7.583333333333333,141
7.666666666666667,140
7.75,137
7.833333333333333,140
7.916666666666667,139
8,139
8.083333333333334,143
8.166666666666666,141
8.25,141
8.333333333333334,144
8.416666666666666,147
8.5,144
8.583333333333334,146
8.666666666666666,145
8.75,152
8.833333333333334,152
8.916666666666666,151
9,152
9.083333333333334,151
9.166666666666666,147
9.25,155
9.333333333333334,154
9.416666666666666,152
9.5,155
9.583333333333334,154
9.666666666666666,157
9.75,158
9.833333333333334,156
9.916666666666666,157
10,158
10.083333333333334,156
10.166666666666666,157
10.25,155
10.333333333333334,157
10.416666666666666,160
10.5,161
10.583333333333334,164
10.666666666666666,162
10.75,164
10.833333333333334,163
10.916666666666666,162
11,160
11.083333333333334,164
11.166666666666666,162
11.25,168
11.333333333333334,168
11.416666666666666,168
11.5,164
11.583333333333334,170
11.666666666666666,168
11.75,169
11.833333333333334,165
11.916666666666666,171
12,169
12.083333333333334,171
12.166666666666666,172
12.25,172
12.333333333333334,175
12.416666666666666,173
12.5,176
12.583333333333334,178
12.666666666666666,176
12.75,177
12.833333333333334,178
12.916666666666666,182
13,184
13.083333333333334,185
13.166666666666666,183
13.25,185
13.333333333333334,181
13.416666666666666,183
13.5,183
13.583333333333334,180
13.666666666666666,185
13.75,181
13.833333333333334,187
13.916666666666666,183
14,183
14.083333333333334,183
14.166666666666666,184
14.25,188
14.333333333333334,189
14.416666666666666,187
14.5,191
14.583333333333334,188
14.666666666666666,187
14.75,189
14.833333333333334,189
14.916666666666666,188
15,189
15.083333333333334,188
15.166666666666666,191
15.25,190
15.333333333333334,190
15.416666666666666,189
15.5,189
15.583333333333334,192
15.666666666666666,194
15.75,191
15.833333333333334,194
15.916666666666666,192
16,194
16.083333333333332,190
16.166666666666668,191
16.25,192
16.333333333333332,191
16.416666666666668,190
16.5,192
16.583333333333332,191
16.666666666666668,195
16.75,193
16.833333333333332,193
16.916666666666668,196
17,199
17.083333333333332,194
17.166666666666668,194
17.25,194
17.333333333333332,195
17.416666666666668,199
17.5,194
17.583333333333332,200
17.666666666666668,195
17.75,194
17.833333333333332,201
17.916666666666668,198
18,199
18.083333333333332,199
18.166666666666668,200
18.25,203
18.333333333333332,199
18.416666666666668,198
18.5,200
18.583333333333332,198
18.666666666666668,199
18.75,199
18.833333333333332,200
18.916666666666668,200
19,199
19.083333333333332,202
19.166666666666668,198
19.25,199
19.333333333333332,202
19.416666666666668,203
19.5,201
19.583333333333332,202
19.666666666666668,201
19.75,204
19.833333333333332,204
19.916666666666668,207
20,204
20.083333333333332,207
20.166666666666668,208
20.25,209
20.333333333333332,207
20.416666666666668,208
20.5,204
20.583333333333332,209
20.666666666666668,202
20.75,208
20.833333333333332,206
20.916666666666668,208
21,206
21.083333333333332,212
21.166666666666668,209
21.25,205
21.333333333333332,210
21.416666666666668,209
21.5,213
21.583333333333332,206
21.666666666666668,211
21.75,213
21.833333333333332,209
21.916666666666668,211
22,211
22.083333333333332,214
22.166666666666668,215
22.25,212
22.333333333333332,209
22.416666666666668,209
22.5,213
22.583333333333332,209
22.666666666666668,214
22.75,212
22.833333333333332,210
22.916666666666668,215
23,213
23.083333333333332,214
23.166666666666668,217
23.25,213
23.333333333333332,213
23.416666666666668,216
23.5,218
23.583333333333332,219
23.666666666666668,214
23.75,220
23.833333333333332,215
23.916666666666668,220
24,221
24.083333333333332,220
24.166666666666668,220
24.25,216
24.333333333333332,216
24.416666666666668,216
24.5,218
24.583333333333332,219
24.666666666666668,221
24.75,219
24.833333333333332,217
24.916666666666668,217
25,220
25.083333333333332,221
25.166666666666668,217
25.25,223
25.333333333333332,223
25.416666666666668,219
25.5,221
25.583333333333332,218
25.666666666666668,219
25.75,220
25.833333333333332,220
25.916666666666668,216
26,219
26.083333333333332,218
26.166666666666668,218
26.25,217
26.333333333333332,220
26.416666666666668,219
26.5,222
26.583333333333332,223
26.666666666666668,222
26.75,219
26.833333333333332,223
26.916666666666668,223
27,224
27.083333333333332,226
27.166666666666668,223
27.25,223
27.333333333333332,225
27.416666666666668,223
27.5,225
27.583333333333332,224
27.666666666666668,226
27.75,225
27.833333333333332,222
27.916666666666668,224
28,225
28.083333333333332,224
28.166666666666668,224
28.25,224
28.333333333333332,227
28.416666666666668,225
28.5,228
28.583333333333332,226
28.666666666666668,229
28.75,228
28.833333333333332,226
28.916666666666668,223
29,228
29.083333333333332,230
29.166666666666668,227
29.25,229
29.333333333333332,226
29.416666666666668,228
29.5,229
29.583333333333332,228
29.666666666666668,227
29.75,230
29.833333333333332,229
29.916666666666668,226
30,229
30.083333333333332,228
30.166666666666668,226
30.25,227
30.333333333333332,228
30.416666666666668,227
30.5,232
30.583333333333332,229
30.666666666666668,229
30.75,229
30.833333333333332,227
30.916666666666668,231
31,228
31.083333333333332,228
31.166666666666668,226
31.25,232
31.333333333333332,228
31.416666666666668,231
31.5,228
31.583333333333332,233
31.666666666666668,231
31.75,233
31.833333333333332,235
31.916666666666668,234
32,231
32.083333333333336,229
32.166666666666664,229
32.25,234
32.333333333333336,228
32.416666666666664,230
32.5,234
32.583333333333336,230
32.666666666666664,232
32.75,236
32.833333333333336,229
32.916666666666664,231
33,233
33.083333333333336,235
33.166666666666664,232
33.25,234
33.333333333333336,235
33.416666666666664,232
33.5,229
33.583333333333336,234
33.666666666666664,231
33.75,235
33.833333333333336,232
33.916666666666664,233
34,233
34.083333333333336,232
34.166666666666664,236
34.25,237
34.333333333333336,233
34.416666666666664,234
34.5,236
34.583333333333336,232
34.666666666666664,234
34.75,233
34.833333333333336,231
34.916666666666664,234
35,234
35.083333333333336,232
35.166666666666664,233
35.25,235
35.333333333333336,232
35.416666666666664,234
35.5,234
35.583333333333336,234
35.666666666666664,232
35.75,235
35.833333333333336,233
35.916666666666664,235
36,231
36.083333333333336,235
36.166666666666664,236
36.25,235
36.333333333333336,238
36.416666666666664,237
36.5,233
36.583333333333336,233
36.666666666666664,233
36.75,234
36.833333333333336,233
36.916666666666664,234
37,234
37.083333333333336,236
37.166666666666664,232
37.25,235
37.333333333333336,235
37.416666666666664,237
37.5,237
37.583333333333336,238
37.666666666666664,236
37.75,234
37.833333333333336,235
37.916666666666664,238
38,236
38.083333333333336,239
38.166666666666664,239
38.25,236
38.333333333333336,235
38.416666666666664,237
38.5,235
38.583333333333336,234
38.666666666666664,235
38.75,235
38.833333333333336,235
38.916666666666664,241
39,237
